Name,Organisation_context,Geography,Languages_used,Safeguarding_focus,Protected_characteristics,Message,Result_with_context,Result_no_context,Result_no_context_no_examples
HerDAO.AI,"HerDAO is a group of women developers and builders in Web3 working on Blockchain development, DeFi, smart contracts, technical education, with a focus on empowering women while being inclusive of all diverse perspectives.","Global presence with concentrations in United States, United Kingdom, Europe, East Asia, Latin America","English (primary), Spanish (secondary)","Misogyny in tech, Misogynoir, Intersectionality - women and POC, Racism","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",jesus fuck dude can you talk for like 5 minutes without acting like a pretentious douchebag who needs to lord his own superior understanding of politics and history over others?,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
RnDAO.AI,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish","Misogyny, Women in Tech","Age, Disability, Gender reassignment, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief, Sex, Sexual orientation",jesus fuck dude can you talk for like 5 minutes without acting like a pretentious douchebag who needs to lord his own superior understanding of politics and history over others?,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
HerDAO 2,"HerDAO is a group of women developers and builders in Web3 working on Blockchain development, DeFi, smart contracts, technical education, with a focus on empowering women while being inclusive of all diverse perspectives.","US, UK, Europe, East Asia, Latin America.","English (primary), Spanish (secondary)","Misogyny in tech, Racism","Age, Gender reassignment, Marriage and civil partnership, Pregnancy and maternity",jesus fuck dude can you talk for like 5 minutes without acting like a pretentious douchebag who needs to lord his own superior understanding of politics and history over others?,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
HerDAO 3,"HerDAO is a group of women developers and builders in Web3 working on Blockchain development, DeFi, smart contracts, technical education, with a focus on empowering women while being inclusive of all diverse perspectives.","US, Europe, Asia","English, Spanish","Misogyny in tech, Racism","Age, Gender reassignment, Marriage and civil partnership, Pregnancy and maternity",jesus fuck dude can you talk for like 5 minutes without acting like a pretentious douchebag who needs to lord his own superior understanding of politics and history over others?,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
HerDAO 4,"HerDAO is a group of women developers and builders in Web3 working on Blockchain development, DeFi, smart contracts, technical education, with a focus on empowering women while being inclusive of all diverse perspectives.","US, Europe, Asia","English, Russian","Misogyny in tech, Racism","Age, Gender reassignment, Marriage and civil partnership, Pregnancy and maternity",jesus fuck dude can you talk for like 5 minutes without acting like a pretentious douchebag who needs to lord his own superior understanding of politics and history over others?,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",jesus fuck dude can you talk for like 5 minutes without acting like a pretentious douchebag who needs to lord his own superior understanding of politics and history over others?,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Leftist DAO,"Leftist DAO  is a place to discuss the intersection between blockchain and the radical Left.  Here, we're interested in talking to others and discussing different view points.","UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability",jesus fuck dude can you talk for like 5 minutes without acting like a pretentious douchebag who needs to lord his own superior understanding of politics and history over others?,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",jesus fuck dude can you talk for like 5 minutes without acting like a pretentious douchebag who needs to lord his own superior understanding of politics and history over others?,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Foxy DAO,"Foxy DAO is an inclusive kink scene for people to share ideas, information and sex positivity.",UK,English,"No bigotry, no TERFs, no SWERFS.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",jesus fuck dude can you talk for like 5 minutes without acting like a pretentious douchebag who needs to lord his own superior understanding of politics and history over others?,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",jesus fuck dude can you talk for like 5 minutes without acting like a pretentious douchebag who needs to lord his own superior understanding of politics and history over others?,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
