Name,Organisation_context,Geography,Languages_used,Safeguarding_focus,Protected_characteristics,Message,Result_with_context,Result_no_context,Result_no_context_no_examples
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",You seem to have sand in your vagina.,"['hate speech', ['gender'], [1]]","['hate speech', ['gender'], [1]]","['hate speech', ['gender'], [0.95]]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",Hey everyone! Excited for the hackathon this weekend. What's everyone building?,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief","Sure, share your repo. But maybe ask your boyfriend to help first? ;)","['hate speech', ['gender'], [1]]","['not hate speech', [], [1]]","['hate speech', ['sexual orientation', 'gender'], [0.98, 0.85]]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",She's from Florida so you've got to do the sniff test in those swamp pussies,"['not hate speech', [], [1]]","['hate speech', ['gender'], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.98]]","['hate speech', ['sexual orientation'], [0.98]]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",Why people think gay marriage is okay is beyond me.,"['hate speech', ['sexual orientation', 'marriage and civil partnership'], [1, 1]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",gay marriage is okay,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",#HonestyHour in middle school hoes used to call me a Mandingo warrior,"['hate speech', ['race'], [1]]","['hate speech', ['race'], [1]]","['hate speech', ['race'], [0.95]]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",Only Americans would hire white trash with ties to international terrorism as police officers.,"['hate speech', ['race'], [1]]","['hate speech', ['race'], [0.99]]","['hate speech', ['race'], [0.95]]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",completely right da suchka ebanaya,"['hate speech', ['race'], [1]]","['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
